entry,exit
34.56,34.59
34.56,34.57
34.56,34.57
34.57,34.56
34.56,34.59
34.57,34.53
34.56,34.57
34.57,34.56
34.57,34.56
34.56,34.59
34.56,34.59
34.57,34.59
34.59,34.575
34.59,34.58
34.59,34.58
34.58,34.59
34.59,34.58
34.59,34.58
34.58,34.59
34.59,34.58
34.59,34.575
34.59,34.58
34.58,34.57
34.58,34.56
34.575,34.57
34.57,34.55
34.56,34.53
34.56,34.55
34.55,34.53
34.55,34.53
34.53,34.54
34.54,34.55
34.55,34.57
34.57,34.55
34.565,34.55
34.56,34.55
34.56,34.55
34.56,34.55
34.555,34.59
34.55,34.56
34.56,34.55
34.55,34.59
34.55,34.56
34.55,34.59
34.55,34.56
34.55,34.59
34.56,34.55
34.55,34.59
34.55,34.59
34.56,34.59
34.59,34.56
34.58,34.56
34.58,34.56
34.56,34.55
34.56,34.56
34.56,34.55
34.561,34.55
34.55,34.56
34.56,34.57
34.56,34.57
34.56,34.56
34.56,34.56
34.56,34.57
34.57,34.59
34.59,34.605
34.59,34.605
34.605,34.62
34.61,34.59
34.61,34.62
34.61,34.62
34.61,34.61
34.61,34.62
34.62,34.6
34.61,34.62
34.62,34.6
34.6,34.58
34.59,34.605
34.59,34.605
34.59,34.605
34.59,34.605
34.59,34.605
34.605,34.59
34.61,34.6
34.6,34.59
34.59,34.61
34.595,34.61
34.59,34.61
34.61,34.6
34.6,34.59
34.59,34.58
34.58,34.57
34.57,34.55
34.56,34.54
34.56,34.55
34.55,34.54
34.54,34.56
34.54,34.56
34.54,34.56
34.56,34.58
34.56,34.57
34.57,34.6
34.58,34.56
34.56,34.575
34.575,34.56
34.56,34.58
34.57,34.6
34.57,34.58
34.58,34.57
34.57,34.56
34.56,34.6
34.6,34.61
34.61,34.59
34.61,34.62
34.61,34.62
34.62,34.6
34.6,34.59
34.6,34.62
34.59,34.61
34.59,34.61
34.61,34.59
34.61,34.62
34.62,34.61
34.615,34.6
34.61,34.6
34.6,34.58
34.61,34.59
34.59,34.58
34.58,34.6
34.59,34.575
34.575,34.59
34.58,34.6
34.58,34.57
34.57,34.59
34.59,34.6
34.6,34.58
34.58,34.565
34.565,34.55
34.55,34.51
34.54,34.51
34.51,34.52
34.52,34.51
34.51,34.52
34.52,34.51
34.51,34.5
34.5,34.51
34.5,34.51
34.51,34.53
34.5,34.51
34.51,34.53
34.52,34.5
34.53,34.52
34.53,34.53
34.53,34.52
34.52,34.51
34.51,34.47
34.51,34.5
34.5,34.47
34.47,34.5
34.48,34.47
34.47,34.46
34.46,34.48
34.48,34.46
34.46,34.48
34.46,34.48
34.46,34.47
34.47,34.48
34.47,34.5
34.48,34.5
34.48,34.5
34.5,34.52
34.51,34.5
34.51,34.5
34.5,34.51
34.5,34.52
34.51,34.52
34.52,34.55
34.52,34.55
34.52,34.53
34.52,34.53
34.53,34.55
34.55,34.58
34.54,34.56
34.56,34.58
34.58,34.56
34.58,34.56
34.57,34.56
34.56,34.57
34.56,34.575
34.57,34.55
34.56,34.58
34.58,34.56
34.57,34.56
34.57,34.56
34.56,34.54
34.55,34.57
34.56,34.54
34.54,34.56
34.55,34.56
34.56,34.59
34.56,34.57
34.57,34.59
34.56,34.59
34.57,34.59
34.59,34.61
34.59,34.61
34.61,34.63
34.61,34.61
34.61,34.63
34.62,34.61
34.61,34.6
34.6,34.61
34.61,34.6
34.61,34.6
34.61,34.62
34.6,34.61
34.62,34.635
34.61,34.62
34.62,34.635
34.62,34.63
34.62,34.63
34.62,34.63
